4865c4865,13786
> ratA(0,87,67)
> ratB(0,31,31)
> ratA(0,86,67)
> ratB(0,31,32)
> ratA(0,85,67)
> ratB(0,31,33)
> ratA(0,86,67)
> ratB(0,31,34)
> ratA(0,87,67)
> ratB(0,31,35)
> ratA(0,87,68)
> ratB(0,31,36)
> ratA(0,87,69)
> ratB(0,31,37)
> ratA(0,86,69)
> ratB(0,30,37)
> ratA(0,85,69)
> ratB(0,29,37)
> ratA(0,84,69)
> ratB(0,29,36)
> ratA(0,83,69)
> ratB(0,29,35)
> ratA(0,83,70)
> ratB(0,29,34)
> ratA(0,83,71)
> ratB(0,29,33)
> ratA(0,82,71)
> ratB(0,29,32)
> ratA(0,81,71)
> ratB(0,29,31)
> ratA(0,81,72)
> ratB(0,28,31)
> ratA(0,81,73)
> ratB(0,27,31)
> ratA(0,82,73)
> ratB(0,27,32)
> ratA(0,83,73)
> ratB(0,27,33)
> ratA(0,83,74)
> ratB(0,27,34)
> ratA(0,83,75)
> ratB(0,27,35)
> ratA(0,83,76)
> ratB(0,27,36)
> ratA(0,83,77)
> ratB(0,27,37)
> ratA(0,84,77)
> ratB(0,27,38)
> ratA(0,85,77)
> ratB(0,27,39)
> ratA(0,86,77)
> ratB(0,28,39)
> ratA(0,87,77)
> ratB(0,29,39)
> ratA(0,87,78)
> ratB(0,29,40)
> ratA(0,87,79)
> ratB(0,29,41)
> ratA(0,86,79)
> ratB(0,30,41)
> ratA(0,85,79)
> ratB(0,31,41)
> ratA(0,84,79)
> ratB(0,32,41)
> ratA(0,83,79)
> ratB(0,33,41)
> ratA(0,83,80)
> ratB(0,34,41)
> ratA(0,83,81)
> ratB(0,35,41)
> ratA(0,83,80)
> ratB(0,35,40)
> ratA(0,83,79)
> ratB(0,35,39)
> ratA(0,82,79)
> ratB(0,34,39)
> ratA(0,81,79)
> ratB(0,33,39)
> ratA(0,81,78)
> ratB(0,32,39)
> ratA(0,81,77)
> ratB(0,31,39)
> ratA(0,80,77)
> ratB(0,32,39)
> ratA(0,79,77)
> ratB(0,33,39)
> ratA(0,79,76)
> ratB(0,34,39)
> ratA(0,79,75)
> ratB(0,35,39)
> ratA(0,80,75)
> ratB(0,35,40)
> ratA(0,81,75)
> ratB(0,35,41)
> ratA(0,80,75)
> ratB(0,34,41)
> ratA(0,79,75)
> ratB(0,33,41)
> ratA(0,79,74)
> ratB(0,32,41)
> ratA(0,79,73)
> ratB(0,31,41)
> ratA(0,78,73)
> ratB(0,30,41)
> ratA(0,77,73)
> ratB(0,29,41)
> ratA(0,77,74)
> ratB(0,29,42)
> ratA(0,77,75)
> ratB(0,29,43)
> ratA(0,76,75)
> ratB(0,28,43)
> ratA(0,75,75)
> ratB(0,27,43)
> ratA(0,75,76)
> ratB(0,27,44)
> ratA(0,75,77)
> ratB(0,27,45)
> ratA(0,74,77)
> ratB(0,26,45)
> ratA(0,73,77)
> ratB(0,25,45)
> ratA(0,73,76)
> ratB(0,24,45)
> ratA(0,73,75)
> ratB(0,23,45)
> ratA(0,73,74)
> ratB(0,23,44)
> ratA(0,73,73)
> ratB(0,23,43)
> ratA(0,74,73)
> ratB(0,23,42)
> ratA(0,75,73)
> ratB(0,23,41)
> ratA(0,75,72)
> ratB(0,24,41)
> ratA(0,75,71)
> ratB(0,25,41)
> ratA(0,75,70)
> ratB(0,25,40)
> ratA(0,75,69)
> ratB(0,25,39)
> ratA(0,75,70)
> ratB(0,25,38)
> ratA(0,75,71)
> ratB(0,25,37)
> ratA(0,75,72)
> ratB(0,25,36)
> ratA(0,75,73)
> ratB(0,25,35)
> ratA(0,74,73)
> ratB(0,25,34)
> ratA(0,73,73)
> ratB(0,25,33)
> ratA(0,72,73)
> ratB(0,25,32)
> ratA(0,71,73)
> ratB(0,25,31)
> ratA(0,70,73)
> ratB(0,24,31)
> ratA(0,69,73)
> ratB(0,23,31)
> ratA(0,69,74)
> ratB(0,22,31)
> ratA(0,69,75)
> ratB(0,21,31)
> ratA(0,70,75)
> ratB(0,22,31)
> ratA(0,71,75)
> ratB(0,23,31)
> ratA(0,71,76)
> ratB(0,24,31)
> ratA(0,71,77)
> ratB(0,25,31)
> ratA(0,71,78)
> ratB(0,25,32)
> ratA(0,71,79)
> ratB(0,25,33)
> ratA(0,72,79)
> ratB(0,25,34)
> ratA(0,73,79)
> ratB(0,25,35)
> ratA(0,74,79)
> ratB(0,25,36)
> ratA(0,75,79)
> ratB(0,25,37)
> ratA(0,76,79)
> ratB(0,24,37)
> ratA(0,77,79)
> ratB(0,23,37)
> ratA(0,77,80)
> ratB(0,23,38)
> ratA(0,77,81)
> ratB(0,23,39)
> ratA(0,77,82)
> ratB(0,23,38)
> ratA(0,77,83)
> ratB(0,23,37)
> ratA(0,77,84)
> ratB(0,24,37)
> ratA(0,77,85)
> ratB(0,25,37)
> ratA(0,76,85)
> ratB(0,25,38)
> ratA(0,75,85)
> ratB(0,25,39)
> ratA(0,75,86)
> ratB(0,25,40)
> ratA(0,75,87)
> ratB(0,25,41)
> ratA(0,74,87)
> ratB(0,26,41)
> ratA(0,73,87)
> ratB(0,27,41)
> ratA(0,73,88)
> ratB(0,26,41)
> ratA(0,73,89)
> ratB(0,25,41)
> ratA(0,74,89)
> ratB(0,25,42)
> ratA(0,75,89)
> ratB(0,25,43)
> ratA(0,74,89)
> ratB(0,25,42)
> ratA(0,73,89)
> ratB(0,25,41)
> ratA(0,72,89)
> ratB(0,24,41)
> ratA(0,71,89)
> ratB(0,23,41)
> ratA(0,71,90)
> ratB(0,23,42)
> ratA(0,71,91)
> ratB(0,23,43)
> ratA(0,72,91)
> ratB(0,23,44)
> ratA(0,73,91)
> ratB(0,23,45)
> ratA(0,72,91)
> ratB(0,22,45)
> ratA(0,71,91)
> ratB(0,21,45)
> ratA(0,70,91)
> ratB(0,20,45)
> ratA(0,69,91)
> ratB(0,19,45)
> ratA(0,68,91)
> ratB(0,20,45)
> ratA(0,67,91)
> ratB(0,21,45)
> ratA(0,67,92)
> ratB(0,21,46)
> ratA(0,67,93)
> ratB(0,21,47)
> ratA(0,66,93)
> ratB(0,21,48)
> ratA(0,65,93)
> ratB(0,21,49)
> ratA(0,65,94)
> ratB(0,22,49)
> ratA(0,65,95)
> ratB(0,23,49)
> ratA(0,66,95)
> ratB(0,23,48)
> ratA(0,67,95)
> ratB(0,23,47)
> ratA(0,68,95)
> ratB(0,24,47)
> ratA(0,69,95)
> ratB(0,25,47)
> ratA(0,69,94)
> ratB(0,25,48)
> ratA(0,69,93)
> ratB(0,25,49)
> ratA(0,69,94)
> ratB(0,25,50)
> ratA(0,69,95)
> ratB(0,25,51)
> ratA(0,68,95)
> ratB(0,24,51)
> ratA(0,67,95)
> ratB(0,23,51)
> ratA(0,66,95)
> ratB(0,22,51)
> ratA(0,65,95)
> ratB(0,21,51)
> ratA(0,65,94)
> ratB(0,21,52)
> ratA(0,65,93)
> ratB(0,21,53)
> ratA(0,65,92)
> ratB(0,20,53)
> ratA(0,65,91)
> ratB(0,19,53)
> ratA(0,65,90)
> ratB(0,19,54)
> ratA(0,65,89)
> ratB(0,19,55)
> ratA(0,65,88)
> ratB(0,18,55)
> ratA(0,65,87)
> ratB(0,17,55)
> ratA(0,64,87)
> ratB(0,17,54)
> ratA(0,63,87)
> ratB(0,17,53)
> ratA(0,63,86)
> ratB(0,16,53)
> ratA(0,63,85)
> ratB(0,15,53)
> ratA(0,62,85)
> ratB(0,15,52)
> ratA(0,61,85)
> ratB(0,15,51)
> ratA(0,60,85)
> ratB(0,16,51)
> ratA(0,59,85)
> ratB(0,17,51)
> ratA(0,58,85)
> ratB(0,18,51)
> ratA(0,57,85)
> ratB(0,19,51)
> ratA(0,57,86)
> ratB(0,19,50)
> ratA(0,57,87)
> ratB(0,19,49)
> ratA(0,57,88)
> ratB(0,19,48)
> ratA(0,57,89)
> ratB(0,19,47)
> ratA(0,58,89)
> ratB(0,19,48)
> ratA(0,59,89)
> ratB(0,19,49)
> ratA(0,60,89)
> ratB(0,18,49)
> ratA(0,61,89)
> ratB(0,17,49)
> ratA(0,61,90)
> ratB(0,16,49)
> ratA(0,61,91)
> ratB(0,15,49)
> ratA(0,62,91)
> ratB(0,16,49)
> ratA(0,63,91)
> ratB(0,17,49)
> ratA(0,63,92)
> ratB(0,18,49)
> ratA(0,63,93)
> ratB(0,19,49)
> ratA(0,63,92)
> ratB(0,19,50)
> ratA(0,63,91)
> ratB(0,19,51)
> ratA(0,63,90)
> ratB(0,18,51)
> ratA(0,63,89)
> ratB(0,17,51)
> ratA(0,63,90)
> ratB(0,16,51)
> ratA(0,63,91)
> ratB(0,15,51)
> ratA(0,62,91)
> ratB(0,15,52)
> ratA(0,61,91)
> ratB(0,15,53)
> ratA(0,60,91)
> ratB(0,15,54)
> ratA(0,59,91)
> ratB(0,15,55)
> ratA(0,60,91)
> ratB(0,15,56)
> ratA(0,61,91)
> ratB(0,15,57)
> ratA(0,61,90)
> ratB(0,14,57)
> ratA(0,61,89)
> ratB(0,13,57)
> ratA(0,61,88)
> ratB(0,13,56)
> ratA(0,61,87)
> ratB(0,13,55)
> ratA(0,60,87)
> ratB(0,12,55)
> ratA(0,59,87)
> ratB(0,11,55)
> ratA(0,60,87)
> ratB(0,10,55)
> ratA(0,61,87)
> ratB(0,9,55)
> ratA(0,61,88)
> ratB(0,8,55)
> ratA(0,61,89)
> ratB(0,7,55)
> ratA(0,60,89)
> ratB(0,7,54)
> ratA(0,59,89)
> ratB(0,7,53)
> ratA(0,58,89)
> ratB(0,6,53)
> ratA(0,57,89)
> ratB(0,5,53)
> ratA(0,57,88)
> ratB(0,5,52)
> ratA(0,57,87)
> ratB(0,5,51)
> ratA(0,57,86)
> ratB(0,6,51)
> ratA(0,57,85)
> ratB(0,7,51)
> ratA(0,57,84)
> ratB(0,6,51)
> ratA(0,57,83)
> ratB(0,5,51)
> ratA(0,58,83)
> ratB(0,5,52)
> ratA(0,59,83)
> ratB(0,5,53)
> ratA(0,59,82)
> ratB(0,5,54)
> ratA(0,59,81)
> ratB(0,5,55)
> ratA(0,59,80)
> ratB(0,5,56)
> ratA(0,59,79)
> ratB(0,5,57)
> ratA(0,59,78)
> ratB(0,5,56)
> ratA(0,59,77)
> ratB(0,5,55)
> ratA(0,59,76)
> ratB(0,5,54)
> ratA(0,59,75)
> ratB(0,5,53)
> ratA(0,59,74)
> ratB(0,6,53)
> ratA(0,59,73)
> ratB(0,7,53)
> ratA(0,60,73)
> ratB(0,7,54)
> ratA(0,61,73)
> ratB(0,7,55)
> ratA(0,61,74)
> ratB(0,8,55)
> ratA(0,61,75)
> ratB(0,9,55)
> ratA(0,61,76)
> ratB(0,10,55)
> ratA(0,61,77)
> ratB(0,11,55)
> ratA(0,62,77)
> ratB(0,11,56)
> ratA(0,63,77)
> ratB(0,11,57)
> ratA(0,64,77)
> ratB(0,11,56)
> ratA(0,65,77)
> ratB(0,11,55)
> ratA(0,65,76)
> ratB(0,12,55)
> ratA(0,65,75)
> ratB(0,13,55)
> ratA(0,66,75)
> ratB(0,13,56)
> ratA(0,67,75)
> ratB(0,13,57)
> ratA(0,67,76)
> ratB(0,13,58)
> ratA(0,67,77)
> ratB(0,13,59)
> ratA(0,67,78)
> ratB(0,12,59)
> ratA(0,67,79)
> ratB(0,11,59)
> ratA(0,66,79)
> ratB(0,12,59)
> ratA(0,65,79)
> ratB(0,13,59)
> ratA(0,64,79)
> ratB(0,13,58)
> ratA(0,63,79)
> ratB(0,13,57)
> ratA(0,62,79)
> ratB(0,14,57)
> ratA(0,61,79)
> ratB(0,15,57)
> ratA(0,61,80)
> ratB(0,15,58)
> ratA(0,61,81)
> ratB(0,15,59)
> ratA(0,61,82)
> ratB(0,15,58)
> ratA(0,61,83)
> ratB(0,15,57)
> ratA(0,61,82)
> ratB(0,15,56)
> ratA(0,61,81)
> ratB(0,15,55)
> ratA(0,62,81)
> ratB(0,15,54)
> ratA(0,63,81)
> ratB(0,15,53)
> ratA(0,63,82)
> ratB(0,16,53)
> ratA(0,63,83)
> ratB(0,17,53)
> ratA(0,63,82)
> ratB(0,17,54)
> ratA(0,63,81)
> ratB(0,17,55)
> ratA(0,64,81)
> ratB(0,18,55)
> ratA(0,65,81)
> ratB(0,19,55)
> ratA(0,65,82)
> ratB(0,20,55)
> ratA(0,65,83)
> ratB(0,21,55)
> ratA(0,66,83)
> ratB(0,22,55)
> ratA(0,67,83)
> ratB(0,23,55)
> ratA(0,68,83)
> ratB(0,23,54)
> ratA(0,69,83)
> ratB(0,23,53)
> ratA(0,69,82)
> ratB(0,23,54)
> ratA(0,69,81)
> ratB(0,23,55)
> ratA(0,70,81)
> ratB(0,22,55)
> ratA(0,71,81)
> ratB(0,21,55)
> ratA(0,72,81)
> ratB(0,20,55)
> ratA(0,73,81)
> ratB(0,19,55)
> ratA(0,73,82)
> ratB(0,19,54)
> ratA(0,73,83)
> ratB(0,19,53)
> ratA(0,73,84)
> ratB(0,20,53)
> ratA(0,73,85)
> ratB(0,21,53)
> ratA(0,73,84)
> ratB(0,21,52)
> ratA(0,73,83)
> ratB(0,21,51)
> ratA(0,74,83)
> ratB(0,22,51)
> ratA(0,75,83)
> ratB(0,23,51)
> ratA(0,75,82)
> ratB(0,24,51)
> ratA(0,75,81)
> ratB(0,25,51)
> ratA(0,75,82)
> ratB(0,26,51)
> ratA(0,75,83)
> ratB(0,27,51)
> ratA(0,74,83)
> ratB(0,27,50)
> ratA(0,73,83)
> ratB(0,27,49)
> ratA(0,72,83)
> ratB(0,27,48)
> ratA(0,71,83)
> ratB(0,27,47)
> ratA(0,71,84)
> ratB(0,27,48)
> ratA(0,71,85)
> ratB(0,27,49)
> ratA(0,70,85)
> ratB(0,28,49)
> ratA(0,69,85)
> ratB(0,29,49)
> ratA(0,69,86)
> ratB(0,30,49)
> ratA(0,69,87)
> ratB(0,31,49)
> ratA(0,69,88)
> ratB(0,30,49)
> ratA(0,69,89)
> ratB(0,29,49)
> ratA(0,68,89)
> ratB(0,28,49)
> ratA(0,67,89)
> ratB(0,27,49)
> ratA(0,67,88)
> ratB(0,27,50)
> ratA(0,67,87)
> ratB(0,27,51)
> ratA(0,67,86)
> ratB(0,26,51)
> ratA(0,67,85)
> ratB(0,25,51)
> ratA(0,66,85)
> ratB(0,25,52)
> ratA(0,65,85)
> ratB(0,25,53)
> ratA(0,66,85)
> ratB(0,25,52)
> ratA(0,67,85)
> ratB(0,25,51)
> ratA(0,67,86)
> ratB(0,25,50)
> ratA(0,67,87)
> ratB(0,25,49)
> ratA(0,67,88)
> ratB(0,25,48)
> ratA(0,67,89)
> ratB(0,25,47)
> ratA(0,68,89)
> ratB(0,24,47)
> ratA(0,69,89)
> ratB(0,23,47)
> ratA(0,69,88)
> ratB(0,23,48)
> ratA(0,69,87)
> ratB(0,23,49)
> ratA(0,70,87)
> ratB(0,22,49)
> ratA(0,71,87)
> ratB(0,21,49)
> ratA(0,70,87)
> ratB(0,21,48)
> ratA(0,69,87)
> ratB(0,21,47)
> ratA(0,69,86)
> ratB(0,21,46)
> ratA(0,69,85)
> ratB(0,21,45)
> ratA(0,70,85)
> ratB(0,22,45)
> ratA(0,71,85)
> ratB(0,23,45)
> ratA(0,71,84)
> ratB(0,24,45)
> ratA(0,71,83)
> ratB(0,25,45)
> ratA(0,72,83)
> ratB(0,26,45)
> ratA(0,73,83)
> ratB(0,27,45)
> ratA(0,73,82)
> ratB(0,27,44)
> ratA(0,73,81)
> ratB(0,27,43)
> ratA(0,72,81)
> ratB(0,28,43)
> ratA(0,71,81)
> ratB(0,29,43)
> ratA(0,70,81)
> ratB(0,29,42)
> ratA(0,69,81)
> ratB(0,29,41)
> ratA(0,68,81)
> ratB(0,29,40)
> ratA(0,67,81)
> ratB(0,29,39)
> ratA(0,68,81)
> ratB(0,28,39)
> ratA(0,69,81)
> ratB(0,27,39)
> ratA(0,69,80)
> ratB(0,27,38)
> ratA(0,69,79)
> ratB(0,27,37)
> ratA(0,69,78)
> ratB(0,27,36)
> ratA(0,69,77)
> ratB(0,27,35)
> ratA(0,69,78)
> ratB(0,27,34)
> ratA(0,69,79)
> ratB(0,27,33)
> ratA(0,69,80)
> ratB(0,27,32)
> ratA(0,69,81)
> ratB(0,27,31)
> ratA(0,69,82)
> ratB(0,28,31)
> ratA(0,69,83)
> ratB(0,29,31)
> ratA(0,68,83)
> ratB(0,29,32)
> ratA(0,67,83)
> ratB(0,29,33)
> ratA(0,66,83)
> ratB(0,29,34)
> ratA(0,65,83)
> ratB(0,29,35)
> ratA(0,65,82)
> ratB(0,29,36)
> ratA(0,65,81)
> ratB(0,29,37)
> ratA(0,64,81)
> ratB(0,30,37)
> ratA(0,63,81)
> ratB(0,31,37)
> ratA(0,62,81)
> ratB(0,31,36)
> ratA(0,61,81)
> ratB(0,31,35)
> ratA(0,61,80)
> ratB(0,31,34)
> ratA(0,61,79)
> ratB(0,31,33)
> ratA(0,62,79)
> ratB(0,31,32)
> ratA(0,63,79)
> ratB(0,31,31)
> ratA(0,64,79)
> ratB(0,31,30)
> ratA(0,65,79)
> ratB(0,31,29)
> ratA(0,66,79)
> ratB(0,31,28)
> ratA(0,67,79)
> ratB(0,31,27)
> ratA(0,67,78)
> ratB(0,31,26)
> ratA(0,67,77)
> ratB(0,31,25)
> ratA(0,67,76)
> ratB(0,30,25)
> ratA(0,67,75)
> ratB(0,29,25)
> ratA(0,67,74)
> ratB(0,29,26)
> ratA(0,67,73)
> ratB(0,29,27)
> ratA(0,66,73)
> ratB(0,29,28)
> ratA(0,65,73)
> ratB(0,29,29)
> ratA(0,64,73)
> ratB(0,28,29)
> ratA(0,63,73)
> ratB(0,27,29)
> ratA(0,63,74)
> ratB(0,27,28)
> ratA(0,63,75)
> ratB(0,27,27)
> ratA(0,63,74)
> ratB(0,27,26)
> ratA(0,63,73)
> ratB(0,27,25)
> ratA(0,63,72)
> ratB(0,26,25)
> ratA(0,63,71)
> ratB(0,25,25)
> ratA(0,64,71)
> ratB(0,25,26)
> ratA(0,65,71)
> ratB(0,25,27)
> ratA(0,64,71)
> ratB(0,25,28)
> ratA(0,63,71)
> ratB(0,25,29)
> ratA(0,63,70)
> ratB(0,24,29)
> ratA(0,63,69)
> ratB(0,23,29)
> ratA(0,62,69)
> ratB(0,22,29)
> ratA(0,61,69)
> ratB(0,21,29)
> ratA(0,60,69)
> ratB(0,20,29)
> ratA(0,59,69)
> ratB(0,19,29)
> ratA(0,59,68)
> ratB(0,19,30)
> ratA(0,59,67)
> ratB(0,19,31)
> ratA(0,59,66)
> ratB(0,18,31)
> ratA(0,59,65)
> ratB(0,17,31)
> ratA(0,58,65)
> ratB(0,16,31)
> ratA(0,57,65)
> ratB(0,15,31)
> ratA(0,57,66)
> ratB(0,14,31)
> ratA(0,57,67)
> ratB(0,13,31)
> ratA(0,56,67)
> ratB(0,13,32)
> ratA(0,55,67)
> ratB(0,13,33)
> ratA(0,55,68)
> ratB(0,12,33)
> ratA(0,55,69)
> ratB(0,11,33)
> ratA(0,56,69)
> ratB(0,11,32)
> ratA(0,57,69)
> ratB(0,11,31)
> ratA(0,57,70)
> ratB(0,10,31)
> ratA(0,57,71)
> ratB(0,9,31)
> ratA(0,58,71)
> ratB(0,8,31)
> ratA(0,59,71)
> ratB(0,7,31)
> ratA(0,60,71)
> ratB(0,7,32)
> ratA(0,61,71)
> ratB(0,7,33)
> ratA(0,60,71)
> ratB(0,6,33)
> ratA(0,59,71)
> ratB(0,5,33)
> ratA(0,58,71)
> ratB(0,5,32)
> ratA(0,57,71)
> ratB(0,5,31)
> ratA(0,56,71)
> ratB(0,5,30)
> ratA(0,55,71)
> ratB(0,5,29)
> ratA(0,54,71)
> ratB(0,5,28)
> ratA(0,53,71)
> ratB(0,5,27)
> ratA(0,52,71)
> ratB(0,4,27)
> ratA(0,51,71)
> ratB(0,3,27)
> ratA(0,51,70)
> ratB(0,2,27)
> ratA(0,51,69)
> ratB(0,1,27)
> ratA(0,50,69)
> ratB(0,1,28)
> ratA(0,49,69)
> ratB(0,1,29)
> ratA(0,49,68)
> ratB(0,1,30)
> ratA(0,49,67)
> ratB(0,1,31)
> ratA(0,48,67)
> ratB(0,1,32)
> ratA(0,47,67)
> ratB(0,1,33)
> ratA(0,47,66)
> ratB(0,1,32)
> ratA(0,47,65)
> ratB(0,1,31)
> ratA(0,46,65)
> ratB(0,2,31)
> ratA(0,45,65)
> ratB(0,3,31)
> ratA(0,45,64)
> ratB(0,3,32)
> ratA(0,45,63)
> ratB(0,3,33)
> ratA(0,46,63)
> ratB(0,3,34)
> ratA(0,47,63)
> ratB(0,3,35)
> ratA(0,47,62)
> ratB(0,2,35)
> ratA(0,47,61)
> ratB(0,1,35)
> ratA(0,48,61)
> ratB(0,1,36)
> ratA(0,49,61)
> ratB(0,1,37)
> ratA(0,49,62)
> ratB(0,1,38)
> ratA(0,49,63)
> ratB(0,1,39)
> ratA(0,50,63)
> ratB(0,1,40)
> ratA(0,51,63)
> ratB(0,1,41)
> ratA(0,52,63)
> ratB(0,2,41)
> ratA(0,53,63)
> ratB(0,3,41)
> ratA(0,53,62)
> ratB(0,4,41)
> ratA(0,53,61)
> ratB(0,5,41)
> ratA(0,52,61)
> ratB(0,5,42)
> ratA(0,51,61)
> ratB(0,5,43)
> ratA(0,51,60)
> ratB(0,6,43)
> ratA(0,51,59)
> ratB(0,7,43)
> ratA(0,50,59)
> ratB(0,7,42)
> ratA(0,49,59)
> ratB(0,7,41)
> ratA(0,48,59)
> ratB(0,8,41)
> ratA(0,47,59)
> ratB(0,9,41)
> ratA(0,47,58)
> ratB(0,9,42)
> ratA(0,47,57)
> ratB(0,9,43)
> ratA(0,47,56)
> ratB(0,9,44)
> ratA(0,47,55)
> ratB(0,9,45)
> ratA(0,47,54)
> ratB(0,8,45)
> ratA(0,47,53)
> ratB(0,7,45)
> ratA(0,48,53)
> ratB(0,6,45)
> ratA(0,49,53)
> ratB(0,5,45)
> ratA(0,49,54)
> ratB(0,6,45)
> ratA(0,49,55)
> ratB(0,7,45)
> ratA(0,50,55)
> ratB(0,8,45)
> ratA(0,51,55)
> ratB(0,9,45)
> ratA(0,51,54)
> ratB(0,10,45)
> ratA(0,51,53)
> ratB(0,11,45)
> ratA(0,51,52)
> ratB(0,11,44)
> ratA(0,51,51)
> ratB(0,11,43)
> ratA(0,51,50)
> ratB(0,11,42)
> ratA(0,51,49)
> ratB(0,11,41)
> ratA(0,52,49)
> ratB(0,12,41)
> ratA(0,53,49)
> ratB(0,13,41)
> ratA(0,53,50)
> ratB(0,12,41)
> ratA(0,53,51)
> ratB(0,11,41)
> ratA(0,53,52)
> ratB(0,11,42)
> ratA(0,53,53)
> ratB(0,11,43)
> ratA(0,53,54)
> ratB(0,11,44)
> ratA(0,53,55)
> ratB(0,11,45)
> ratA(0,54,55)
> ratB(0,11,46)
> ratA(0,55,55)
> ratB(0,11,47)
> ratA(0,56,55)
> ratB(0,10,47)
> ratA(0,57,55)
> ratB(0,9,47)
> ratA(0,57,56)
> ratB(0,10,47)
> ratA(0,57,57)
> ratB(0,11,47)
> ratA(0,56,57)
> ratB(0,11,46)
> ratA(0,55,57)
> ratB(0,11,45)
> ratA(0,55,58)
> ratB(0,10,45)
> ratA(0,55,59)
> ratB(0,9,45)
> ratA(0,55,60)
> ratB(0,9,44)
> ratA(0,55,61)
> ratB(0,9,43)
> ratA(0,56,61)
> ratB(0,9,42)
> ratA(0,57,61)
> ratB(0,9,41)
> ratA(0,57,62)
> ratB(0,8,41)
> ratA(0,57,63)
> ratB(0,7,41)
> ratA(0,58,63)
> ratB(0,7,42)
> ratA(0,59,63)
> ratB(0,7,43)
> ratA(0,59,62)
> ratB(0,6,43)
> ratA(0,59,61)
> ratB(0,5,43)
> ratA(0,59,60)
> ratB(0,5,42)
> ratA(0,59,59)
> ratB(0,5,41)
> ratA(0,60,59)
> ratB(0,4,41)
> ratA(0,61,59)
> ratB(0,3,41)
> ratA(0,61,60)
> ratB(0,2,41)
> ratA(0,61,61)
> ratB(0,1,41)
> ratA(0,61,62)
> ratB(0,1,40)
> ratA(0,61,63)
> ratB(0,1,39)
> ratA(0,61,64)
> ratB(0,1,38)
> ratA(0,61,65)
> ratB(0,1,37)
> ratA(0,61,66)
> ratB(0,2,37)
> ratA(0,61,67)
> ratB(0,3,37)
> ratA(0,61,66)
> ratB(0,3,38)
> ratA(0,61,65)
> ratB(0,3,39)
> ratA(0,61,64)
> ratB(0,4,39)
> ratA(0,61,63)
> ratB(0,5,39)
> ratA(0,62,63)
> ratB(0,6,39)
> ratA(0,63,63)
> ratB(0,7,39)
> ratA(0,63,62)
> ratB(0,8,39)
> ratA(0,63,61)
> ratB(0,9,39)
> ratA(0,64,61)
> ratB(0,10,39)
> ratA(0,65,61)
> ratB(0,11,39)
> ratA(0,66,61)
> ratB(0,12,39)
> ratA(0,67,61)
> ratB(0,13,39)
> ratA(0,66,61)
> ratB(0,13,38)
> ratA(0,65,61)
> ratB(0,13,37)
> ratA(0,64,61)
> ratB(0,13,36)
> ratA(0,63,61)
> ratB(0,13,35)
> ratA(0,63,60)
> ratB(0,14,35)
> ratA(0,63,59)
> ratB(0,15,35)
> ratA(0,63,58)
> ratB(0,16,35)
> ratA(0,63,57)
> ratB(0,17,35)
> ratA(0,63,58)
> ratB(0,18,35)
> ratA(0,63,59)
> ratB(0,19,35)
> ratA(0,63,60)
> ratB(0,18,35)
> ratA(0,63,61)
> ratB(0,17,35)
> ratA(0,63,62)
> ratB(0,16,35)
> ratA(0,63,63)
> ratB(0,15,35)
> ratA(0,62,63)
> ratB(0,15,34)
> ratA(0,61,63)
> ratB(0,15,33)
> ratA(0,61,62)
> ratB(0,16,33)
> ratA(0,61,61)
> ratB(0,17,33)
> ratA(0,61,60)
> ratB(0,18,33)
> ratA(0,61,59)
> ratB(0,19,33)
> ratA(0,61,58)
> ratB(0,20,33)
> ratA(0,61,57)
> ratB(0,21,33)
> ratA(0,60,57)
> ratB(0,22,33)
> ratA(0,59,57)
> ratB(0,23,33)
> ratA(0,60,57)
> ratB(0,23,34)
> ratA(0,61,57)
> ratB(0,23,35)
> ratA(0,61,58)
> ratB(0,22,35)
> ratA(0,61,59)
> ratB(0,21,35)
> ratA(0,60,59)
> ratB(0,21,36)
> ratA(0,59,59)
> ratB(0,21,37)
> ratA(0,58,59)
> ratB(0,20,37)
> ratA(0,57,59)
> ratB(0,19,37)
> ratA(0,58,59)
> ratB(0,18,37)
> ratA(0,59,59)
> ratB(0,17,37)
> ratA(0,59,60)
> ratB(0,17,38)
> ratA(0,59,61)
> ratB(0,17,39)
> ratA(0,59,62)
> ratB(0,16,39)
> ratA(0,59,63)
> ratB(0,15,39)
> ratA(0,58,63)
> ratB(0,15,40)
> ratA(0,57,63)
> ratB(0,15,41)
> ratA(0,56,63)
> ratB(0,16,41)
> ratA(0,55,63)
> ratB(0,17,41)
> ratA(0,55,64)
> ratB(0,18,41)
> ratA(0,55,65)
> ratB(0,19,41)
> ratA(0,54,65)
> ratB(0,19,40)
> ratA(0,53,65)
> ratB(0,19,39)
> ratA(0,52,65)
> ratB(0,20,39)
> ratA(0,51,65)
> ratB(0,21,39)
> ratA(0,51,66)
> ratB(0,21,40)
> ratA(0,51,67)
> ratB(0,21,41)
> ratA(0,52,67)
> ratB(0,21,42)
> ratA(0,53,67)
> ratB(0,21,43)
> ratA(0,53,68)
> ratB(0,20,43)
> ratA(0,53,69)
> ratB(0,19,43)
> ratA(0,53,68)
> ratB(0,18,43)
> ratA(0,53,67)
> ratB(0,17,43)
> ratA(0,52,67)
> ratB(0,16,43)
> ratA(0,51,67)
> ratB(0,15,43)
> ratA(0,51,66)
> ratB(0,14,43)
> ratA(0,51,65)
